EPM Store Name;STORE OPENING DATE;AREA (SQM);OPERATION;REGION;DENSITY;Actual Net Sales;BP-2025 Net Sales;Actual vs BP Difference Net sales;Actual vs BP Difference (%) net sales;Actual COGS;cogs%;Actual Royalty;royalty %;Actual Store Margin;store margin %;BP-2025 Store Margin;Actual vs BP Difference store margin;Actual vs BP Difference (%) store margin;Cost of Sales (Others);Stock Write Down (Charge);Operating Margin;operation margin %;BP-2025 Operating Margin;Actual vs BP Difference operation margin;Actual vs BP Difference (%) operation margin;Staff cost;staff cost % ;BP-2025 Staff Cost;Actual vs BP Difference staff cost;Actual vs BP Difference (%) staff cost;Controllables;controllables% ;BP-2025 Controllables;Actual vs BP Difference controllables;Actual vs BP Difference (%) controllables;Rent;rent %;BP-2025 Rent;Actual vs BP Difference rent;Actual vs BP Difference (%) rent;Depreciation;depreciation%;BP-2025 Depreciation;Actual vs BP Difference depreciation;Actual vs BP Difference (%) depreciation;Store Contribution;store contribution%;BP-2025 Store Contribution;Actual vs BP Difference store conribution;Actual vs BP Difference (%) contribution;Cash +/-  Stores
RU1-U684-STA KON Kivilcim Bulvar;43763;571;O1;Konya;107206,9789;61215184,94;58812516,92;2402668,02;0,040853005;11515760,95;0,188119352;3687384,89;0,060236441;46012039,1;0,751644206;43265729,38;2746309,718;0,063475406;166265,32;0;45845773,78;0,748928127;43011406,94;2834366,836;0,065898027;10056313,47;0,164278087;10325315,62;269002,1454;0,02605268;7190888,87;0,117469038;5890700,245;-1300188,625;-0,220718857;6126787,56;0,100086074;5936307,746;-190479,8138;-0,032087254;339293,27;0,005542632;235551,5858;-103741,6842;-0,440420233;22132490,61;0,361552295;20623531,75;1508958,858;0,07316685;22471783,88
RU1-U272-STA Kon Kent Plaza;41229;322;O1;Konya;180513,3463;58125297,51;54435824,61;3689472,897;0,067776559;11212595,13;0,192903875;3508127,75;0,060354577;43404574,63;0,746741548;39093646,7;4310927,927;0,110271829;177874,07;0;43226700,56;0,743681364;38860067,92;4366632,639;0,112368116;10307817,02;0,17733788;10584632,63;276815,6137;0,026152595;4599515,55;0,079131045;4978205,53;378689,9799;0,076069575;8045611,89;0,138418421;7655948,211;-389663,679;-0,050896854;266424,43;0,004583623;195891,9773;-70532,45273;-0,360057894;20007331,67;0,344210396;15445389,57;4561942,1;0,295359471;20273756,1
RU1-U354-STA Kon Kule Site;42116;233;O1;Konya;212749,1491;49570551,73;52866958,85;-3296407,123;-0,06235288;9436614,61;0,190367351;2985698,96;0,060231304;37148238,16;0,749401345;38545369,55;-1397131,388;-0,036246413;145414,26;0;37002823,9;0,746467865;38317715,37;-1314891,474;-0,034315498;8671444,89;0,174931377;10594280,79;1922835,9;0,18149754;5032999,79;0,101532051;5039280,929;6281,13928;0,001246436;7867057,47;0,158704255;8297725,157;430667,6871;0,051901898;1369788,4;0,027633108;1347159,715;-22628,68539;-0,016797329;14061533,35;0,283667074;13039268,78;1022264,568;0,078398918;15431321,75
RU1-UA41-STA KON Konya Enntepe AVM;45191;343;O1;Konya;128242,7809;43987273,84;34770583,84;9216690,004;0,265071477;8416104,92;0,19133045;2657094,97;0,060405993;32914073,95;0,748263556;25093496,63;7820577,316;0,311657535;159256,62;0;32754817,33;0,74464304;24943950,03;7810867,296;0,313136744;8293120,16;0,188534534;6416222,282;-1876897,878;-0,292523824;4280540,64;0,097313161;2928510,489;-1352030,151;-0,461678439;4352414,29;0,098947125;3785165,716;-567248,5741;-0,149860962;2158888,26;0,049079838;2014922,337;-143965,923;-0,071449862;13669853,98;0,310768383;9799129,21;3870724,77;0,395007014;15828742,24
RU1-U529-STA Kon Meram;42805;420;O1;Konya;100528,9915;42222176,41;34212190,68;8009985,726;0,234126654;8019144,41;0,189927311;2547853,2;0,060343957;31655178,8;0,749728732;24705207,18;6949971,617;0,281316063;145511,95;0;31509666,85;0,746282393;24558316,26;6951350,587;0,283054852;8332498,08;0,197348853;9925899,842;1593401,762;0,160529704;5310793,38;0,125782085;3637202,832;-1673590,548;-0,460131212;1595071,51;0,03777805;1758741,337;163669,8268;0,093060772;560783,46;0,013281728;559293,9655;-1489,494486;-0,002663169;15710520,42;0,372091677;8677178,286;7033342,134;0,81055637;16271303,88
RU1-U744-STA Kon M1 Konya;44018;230;O1;Konya;157459,1133;36215596,07;32449743,61;3765852,461;0,11605184;7122155,25;0,196659893;2187868,26;0,060412322;26905572,56;0,742927785;23321690,59;3583881,973;0,15367162;114546,62;0;26791025,94;0,739764876;23181998,16;3609027,777;0,155682342;6935864,68;0,191515961;6402315,047;-533549,6326;-0,083336985;3616929,72;0,099872158;3461255,89;-155673,8304;-0,044976111;3290231,21;0,090851223;2949239,664;-340991,5459;-0,115620155;341293,76;0,009423944;307323,1258;-33970,6342;-0,110537188;12606706,57;0,34810159;10061864,44;2544842,134;0,252919541;12948000,33
RU1-UA58-STA AKS Aksaray Akso Vega;45100;375;O1;Konya;95159,71672;35684893,77;28828522,91;6856370,86;0,237832888;6701096,86;0,187785255;2151779,95;0,060299464;26832016,96;0,751915282;20842147,87;5989869,089;0,287392121;116256,22;0;26715760,74;0,748657427;20720193,9;5995566,843;0,289358626;7109832,37;0,199239275;6631513,089;-478319,2808;-0,072128227;3555682,66;0,099641117;2846220,426;-709462,2344;-0,249264684;1773881,56;0,049709593;1557321,198;-216560,3618;-0,139059535;1960155,06;0,054929547;1838946,996;-121208,0636;-0,065911668;12316209,09;0,345137894;7846192,187;4470016,903;0,569705253;14276364,15
RU1-U990-STA ANK Tuzgolu Ankara Yonu;44880;233;O1;Konya;124694,4161;29053798,94;24458376,57;4595422,37;0,187887465;5010314,31;0,172449542;1750192,78;0,060239722;22293291,85;0,767310736;18466391,9;3826899,947;0,207235933;129511,28;0;22163780,57;0,762853099;18364169,37;3799611,198;0,206903515;8895858,12;0,306185712;10430998,71;1535140,587;0,147171007;2648308,04;0,091151868;2124724,515;-523583,5251;-0,246424194;2351888,61;0,080949435;1971763,527;-380125,0826;-0,192784316;1210586,17;0,041667053;1007414,316;-203171,8536;-0,20167656;7057139,63;0,242899032;2829268,306;4227871,324;1,494333823;8267725,8
RU1-U619-STA Selcuker Center;43231;305;O1;Konya;93285,82138;28452175,52;32414751,04;-3962575,523;-0,122246058;5623164,96;0,197635677;1713167,16;0,060212168;21115843,4;0,742152156;23466908,61;-2351065,211;-0,100186405;130122,09;0;20985721,31;0,737578794;23327023,65;-2341302,341;-0,10036867;6240524,79;0,219333836;6497210,559;256685,7687;0,039507073;2987690,16;0,105007442;2839718,639;-147971,521;-0,052107811;3161201,31;0,111105785;3589625,228;428423,9176;0,119350598;496164,2;0,017438533;465787,192;-30377,008;-0,065216495;8100140,85;0,284693198;9934682,034;-1834541,184;-0,184660282;8596305,05
RU1-UA25-STA Kon Temasehir;45090;335;O1;Konya;83752,58499;28057115,97;19306163,28;8750952,687;0,453272489;5463568,54;0,194730226;1692626,94;0,060327902;20900920,49;0,744941872;13637502,83;7263417,659;0,532606134;106660,93;0;20794259,56;0,741140308;13556044,41;7238215,155;0,533947436;6694941,12;0,238618293;6360698,002;-334243,1182;-0,052548182;2959943,03;0,105497052;2173983,894;-785959,136;-0,36152942;1046353,43;0,037293692;1114405,995;68052,5651;0,061066223;1823695,27;0,064999385;1818133,836;-5561,433557;-0,003058869;8269326,71;0,294731886;2088822,678;6180504,032;2,958845716;10093021,98
