EPM Store Name;STORE OPENING DATE;AREA (SQM);OPERATION;REGION;DENSITY;Actual Net Sales;BP-2025 Net Sales;Actual vs BP Difference Net sales;Actual vs BP Difference (%) net sales;Actual COGS;cogs%;Actual Royalty;royalty %;Actual Store Margin;store margin %;BP-2025 Store Margin;Actual vs BP Difference store margin;Actual vs BP Difference (%) store margin;Cost of Sales (Others);Stock Write Down (Charge);Operating Margin;operation margin %;BP-2025 Operating Margin;Actual vs BP Difference operation margin;Actual vs BP Difference (%) operation margin;Staff cost;staff cost % ;BP-2025 Staff Cost;Actual vs BP Difference staff cost;Actual vs BP Difference (%) staff cost;Controllables;controllables% ;BP-2025 Controllables;Actual vs BP Difference controllables;Actual vs BP Difference (%) controllables;Rent;rent %;BP-2025 Rent;Actual vs BP Difference rent;Actual vs BP Difference (%) rent;Depreciation;depreciation%;BP-2025 Depreciation;Actual vs BP Difference depreciation;Actual vs BP Difference (%) depreciation;Store Contribution;store contribution%;BP-2025 Store Contribution;Actual vs BP Difference store conribution;Actual vs BP Difference (%) contribution;Cash +/-  Stores
RU1-U684-STA KON Kivilcim Bulvar;43763;571;O1;Konya;109157,6789;5993176,41;5835807,472;157368,9383;0,026966095;1260721,66;0,210359511;399802,28;0,06670958;4332652,47;0,722930909;4198319,158;134333,3123;0,031996927;19278,99;0;4313373,48;0,719714086;4176074,999;137298,4814;0,032877398;880842,76;0,146974275;791047,7149;-89795,04511;-0,113514069;599641,01;0,100053956;524432,4791;-75208,53093;-0,143409369;448923,59;0,074905786;517964,2944;69040,70435;0,133292401;36830,97;0,006145484;19471,39548;-17359,57452;-0,891542393;2347135,15;0,391634584;2323159,115;23976,03519;0,010320445;2383966,12
RU1-U272-STA Kon Kent Plaza;41229;322;O1;Konya;183542,404;5682755,2;5084423,255;598331,9454;0,117679413;1230618,11;0,216553074;393153,73;0,069183647;4058983,36;0,714263278;3559512,481;499470,8794;0,140320025;19441,89;0;4039541,47;0,71084207;3540132,348;499409,1215;0,141070749;859466,01;0,151241076;736869,8893;-122596,1207;-0,166374176;231510,26;0,040739087;442503,4952;210993,2352;0,476817104;628628,3;0,110620338;653257,8357;24629,53568;0,037702626;27250,98;0,004795382;17647,79755;-9603,182449;-0,54415756;2292685,92;0,403446188;1689853,331;602832,5893;0,356736634;2319936,9
RU1-U354-STA Kon Kule Site;42116;233;O1;Konya;210956,1286;4726228,65;5674966,041;-948737,3912;-0,167179395;1002381,95;0,212089178;326545,88;0,069092273;3397300,82;0,718818549;4039617,842;-642317,0222;-0,159004403;18151,56;0;3379149,26;0,714977948;4017986,757;-638837,4972;-0,158994426;673140,51;0,142426565;739150,0778;66009,56783;0,089304689;254753,18;0,053902001;463698,4383;208945,2583;0,450605913;689514,2;0,145890995;791009,5968;101495,3968;0,128311208;116440,55;0,024637096;111594,2029;-4846,347116;-0,043428305;1645300,82;0,348121291;1912534,441;-267233,6214;-0,139727482;1761741,37
RU1-UA41-STA KON Konya Enntepe AVM;45191;343;O1;Konya;134528,1142;4436840,69;3285043,854;1151796,836;0,350618405;979070,18;0,22066832;304087,4;0,068536921;3153683,11;0,710794759;2312313,527;841369,583;0,363864836;17873,26;0;3135809,85;0,706766384;2299792,031;836017,8187;0,363518878;651235,04;0,146779;531585,7707;-119649,2693;-0,225079895;201332,53;0,045377453;248240,454;46907,92398;0,188961643;343417,5;0,077401359;317572,5646;-25844,93535;-0,081382771;180448;0,040670381;167910,1948;-12537,80525;-0,074669708;1759376,78;0,396538191;1034483,047;724893,7327;0,700730413;1939824,78
RU1-U529-STA Kon Meram;42805;420;O1;Konya;97373,1465;3932377,07;3354018,052;578359,0184;0,172437658;820714,18;0,208706888;268311,85;0,068231465;2843351,04;0,723061647;2367497,072;475853,9682;0,200994533;16268,59;0;2827082,45;0,718924559;2354712,669;472369,7806;0,200606124;699809,69;0,177960983;685472,4732;-14337,21681;-0,020915817;648283,63;0,164857952;316175,465;-332108,165;-1,050391956;122599,21;0,03117687;160927,8272;38328,61723;0,238172713;53670,43;0,013648343;46175,18129;-7495,248707;-0,16232202;1302719,49;0,331280411;1145961,723;156757,7673;0,136791451;1356389,92
RU1-U744-STA Kon M1 Konya;44018;230;O1;Konya;164430,3915;3636441,35;3204077,077;432364,2725;0,134941907;789107,59;0,21699995;255873,05;0,070363585;2591460,71;0,712636465;2246643,768;344816,9421;0,153480915;11608,09;0;2579852,62;0,709444309;2234430,891;345421,7294;0,154590473;486494,16;0,133783035;530423,4769;43929,31688;0,08281933;351991,03;0,096795465;307279,6506;-44711,37936;-0,145507128;268913,35;0,073949591;263016,3061;-5897,043931;-0,02242083;14404,34;0,003961109;9736,995483;-4667,344517;-0,479341346;1458049,74;0,40095511;1123974,462;334075,2785;0,297226752;1472454,08
RU1-UA58-STA AKS Aksaray Akso Vega;45100;375;O1;Konya;96825,19475;3491293,08;2537880,72;953412,3598;0,375672644;760549,96;0,217841912;235307,56;0,067398398;2495435,56;0,71475969;1796088,441;699347,1195;0,389372318;17010,33;0;2478425,23;0,709887475;1786414,882;692010,3476;0,387373815;522346,1;0,149613936;530457,2178;8111,117758;0,015290805;281111,36;0,080517835;255152,8611;-25958,49886;-0,101737048;121340,6;0,034755203;124068,041;2727,441016;0,021983429;170646,7;0,048877793;153245,583;-17401,11696;-0,113550529;1382980,47;0,396122708;723491,1795;659489,2905;0,91153743;1553627,17
RU1-UA25-STA Kon Temasehir;45090;335;O1;Konya;83961,35668;2704524,47;2094520,037;610004,4328;0,291238289;607166,59;0,224500313;184445,32;0,068198799;1912912,56;0,707300888;1446666,607;466245,9528;0,322289842;10913,68;0;1901998,88;0,703265547;1438682,993;463315,8873;0,32204168;497967,31;0,184123795;529909,3215;31942,01149;0,060278259;260167,88;0,096197273;206106,7349;-54061,1451;-0,262296839;75222,15;0,027813448;112374,2254;37152,07543;0,330610292;149604,04;0,055316209;151511,153;1907,113037;0,012587278;919037,5;0,339814821;438781,5579;480255,9421;1,094521713;1068641,54
RU1-U824-STA Park Karaman;44729;302;O1;Konya;86912,87232;2523816,1;2113847,349;409968,751;0,19394435;562665,42;0,222942321;175694,19;0,069614498;1785456,49;0,707443181;1491822,887;293633,6027;0,196828729;13559,89;0;1771896,6;0,702070408;1483765,604;288130,9964;0,194189025;424736,33;0,168291315;533215,867;108479,537;0,20344394;258236,18;0,102319729;164263,4423;-93972,73769;-0,572085525;112550,57;0,044595393;104319,6734;-8230,896617;-0,078900713;84552,21;0,033501732;83625,13548;-927,074517;-0,011086075;891821,31;0,35336224;598341,4854;293479,8246;0,490488846;976373,52
RU1-U619-STA Selcuker Center;43231;305;O1;Konya;84321,23764;2472882,45;3058509,853;-585627,4032;-0,191474748;560146,47;0,226515607;167724,22;0,067825391;1745011,76;0,705659001;2159786,638;-414774,8775;-0,192044376;19564,42;0;1725447,34;0,697747416;2148128,614;-422681,2742;-0,19676721;522958,97;0,211477489;535381,2309;12422,26091;0,023202646;207513,57;0,083915663;253040,7481;45527,17807;0,179920343;211725,15;0,085618768;308112,9071;96387,75711;0,312832585;43937,67;0,017767796;38615,3285;-5322,3415;-0,137829761;739311,98;0,298967701;1012978,4;-273666,4196;-0,270160173;783249,65
